Trade,Time
340,60
341,67
342,3
343,18
344,20
345,6
346,21
347,11
348,6
349,4
350,13
351,3
352,55
353,42
354,9
355,23
356,20
357,3
358,17
359,6
360,3
361,3
362,4
363,23
364,67
365,25
366,2
367,83
368,19
369,10
370,25
371,18
372,3
373,20
374,18
375,18
376,13
377,54
378,20
379,42
380,18
381,6
382,47
383,35
384,4
385,2
386,4
387,6
388,19
389,38
390,13
391,61
392,35
393,26
394,3
395,16
396,11
397,3
398,26
399,38
400,19
401,3
402,6
403,3
404,2
405,9
406,9
407,54
408,13
409,40
410,11
411,50
412,27
413,18
414,26
415,67
416,6
417,25
418,64
419,55
420,22
421,12
422,2
423,2
424,46
425,6
426,2
427,18
428,12
429,62
430,6
431,32
432,20
433,12
434,6
435,31
436,35
437,2
438,18
439,61
440,18
441,99
442,36
443,12
444,19
445,4
446,31
447,63
448,4
449,3
450,22
451,3
452,40
453,2
454,2
455,12
456,9
457,9
458,4
459,4
460,36
461,6
462,54
463,6
464,4
465,21
466,28
467,19
468,18
469,2
470,12
471,2
472,27
473,32
474,13
475,12
476,34
477,2
478,86
479,13
480,9
481,12
482,2
483,9
484,9
485,3
486,20
487,16
488,56
489,19
490,6
491,45
492,16
493,36
494,33
495,6
496,12
497,34
498,4
499,20
500,83
501,24
502,18
503,84
504,27
505,63
506,31
507,2
508,36
509,45
510,18
511,43
512,34
513,10
514,9
515,37
516,6
517,36
518,72
519,90
520,20
521,4
522,27
523,76
524,51
525,6
526,2
527,39
528,25
529,3
530,3
531,12
532,87
533,14
534,42
535,18
536,50
537,20
538,118
539,13
540,4
541,63
542,9
543,10
544,3
545,24
546,6
547,4
548,2
549,18
550,20
551,12
552,45
553,5
554,2
555,9
556,6
557,83
558,6
559,27
560,49
561,4
562,6
563,3
564,19
565,53
566,46
567,20
568,19
569,18
570,71
571,18
572,67
573,2
574,5
575,6
576,5
577,3
578,12
579,25
580,2
581,21
582,6
583,19
584,9
585,4
586,61
587,16
588,12
589,6
590,6
591,45
592,29
593,4
594,75
595,3
596,15
597,5
598,18
599,85
600,3
601,2
602,17
603,9
604,15
605,26
606,3
607,5
608,16
609,4
610,19
611,99
612,25
613,2
614,23
615,38
616,13
617,37
618,37
619,21
620,2
621,10
622,26
623,2
624,4
625,2
626,38
627,16
628,6
629,6
630,6
631,2
632,9
633,28
634,36
635,6
636,16
637,5
638,6
639,18
640,21
641,49
642,34
643,4
644,19
645,24
646,5
647,5
648,27
649,14
650,25
651,12
652,23
653,19
654,4
655,16
656,69
657,20
658,9
659,3
660,5
661,6
662,14
663,34
664,49
665,94
666,46
667,24
668,63
669,19
670,37
671,18
672,5
673,20
674,4
675,39
676,17
677,6
678,6
679,6
680,21
681,6
682,128
683,6
684,21
685,28
686,2
687,3
688,16
689,13
690,12
691,3
692,16
693,18
694,19
695,9
696,4
697,13
698,18
699,46
700,13
701,5
702,25
703,42
704,40
705,21
706,97
707,11
708,18
709,6
710,18
711,18
712,3
713,11
714,32
715,2
716,18
717,91
718,70
719,12
720,73
721,19
722,99
723,13
724,2
725,13
726,6
727,49
728,6
729,31
730,6
731,34
732,5
733,26
734,6
735,6
736,13
737,45
738,18
739,36
740,19
741,25
742,33
743,18
744,34
745,42
746,3
747,5
748,68
749,20
750,6
751,16
752,27
753,20
754,18
755,3
756,76
757,11
758,9
759,19
760,3
761,27
762,3
763,43
764,12
765,6
766,28
767,61
768,6
769,20
770,22
771,13
772,101
773,24
774,2
775,60
776,52
777,11
778,5
779,36
780,96
781,6
782,9
783,3
784,14
785,4
786,11
787,37
788,6
789,65
790,2
791,5
792,18
793,4
794,34
795,61
796,54
797,12
798,18
799,2
800,85
801,20
802,6
803,68
804,33
805,68
806,37
807,28
808,28
809,2
810,67
811,16
812,13
813,28
814,3
815,21
816,2
817,21
818,38
819,16
820,29
821,2
822,25
823,12
824,29
825,6
826,3
827,20
828,19
829,25
830,6
831,12
832,13
833,6
834,99
835,2
836,6
837,60
838,2
839,2
840,6
841,2
842,83
843,5
844,13
845,4
846,86
847,21
848,2
849,38
850,68
851,20
852,33
853,2
854,12
855,9
856,10
857,6
858,33
859,59
860,26
861,19
862,20
863,25
864,9
865,19
866,60
867,49
868,17
869,4
870,5
871,34
872,3
873,12
874,74
875,13
876,11
877,2
878,78
879,3
880,4
881,26
882,44
883,23
884,5
885,57
886,22
887,27
888,9
889,6
890,24
891,18
892,60
893,20
894,4
895,43
896,49
897,44
898,6
899,45
900,11
901,74
902,2
903,50
904,3
905,6
906,4
907,4
908,9
909,10
910,4
911,39
912,3
913,21
914,50
915,23
916,6
917,3
918,21
919,13
920,38
921,3
922,22
923,9
924,160
925,53
926,5
927,24
928,3
929,24
930,3
931,16
932,35
933,2
934,21
935,9
936,4
937,18
938,88
939,16
940,17
941,5
942,5
943,98
944,68
945,6
946,9
947,5
948,6
949,4
950,61
951,13
952,52
953,18
954,16
955,6
956,4
957,19
958,29
959,55
960,41
961,71
962,41
963,2
964,25
965,18
966,13
967,31
968,12
969,2
970,2
971,26
972,43
973,23
974,75
975,19
976,28
977,20
978,38
979,9
980,4
981,26
982,86
983,16
984,3
985,4
986,4
987,21
988,34
989,31
990,56
991,2
992,25
993,2
994,12
995,3
996,25
997,22
998,50
999,20
1000,45
1001,50
1002,12
1003,27
1004,6
1005,9
1006,20
1007,43
1008,25
1009,4
1010,19
1011,36
1012,11
1013,21
1014,52
1015,34
1016,25
1017,4
1018,26
1019,46
1020,45
1021,11
1022,44
1023,31
1024,117
1025,43
1026,6
1027,24
1028,77
1029,4
1030,13
1031,18
1032,19
1033,3
1034,19
1035,14
1036,6
1037,24
1038,38
1039,54
1040,98
1041,52
1042,69
1043,9
1044,9
1045,27
1046,16
1047,22
1048,6
1049,4
1050,58
1051,9
1052,23
1053,10
1054,73
1055,47
1056,100
1057,11
1058,38
1059,4
1060,33
1061,77
1062,3
1063,20
1064,18
1065,6
1066,34
1067,2
1068,44
1069,21
1070,40
1071,6
1072,5
1073,13
1074,38
1075,13
1076,36
1077,45
1078,33
1079,2
1080,16
1081,13
1082,4
1083,54
1084,89
1085,6
1086,2
1087,12
1088,4
1089,18
1090,36
1091,9
1092,15
1093,6
1094,22
1095,18
1096,9
1097,15
1098,10
1099,3
1100,4
1101,3
1102,50
1103,16
1104,46
1105,18
1106,99
1107,24
1108,55
1109,26
1110,3
1111,28
1112,19
1113,26
1114,2
1115,53
1116,6
1117,71
1118,25
1119,4
1120,9
1121,92
1122,42
1123,2
1124,36
1125,2
1126,45
1127,3
1128,38
1129,40
1130,72
1131,12
1132,4
1133,83
1134,23
1135,21
1136,18
1137,45
1138,41
1139,26
1140,18
1141,18
1142,3
1143,2
1144,70
1145,25
1146,3
1147,5
1148,69
1149,4
1150,40
1151,12
1152,14
1153,19
1154,44
1155,12
1156,31
1157,20
1158,51
1159,13
1160,20
1161,34
1162,11
1163,4
1164,75
1165,29
1166,47
1167,47
1168,12
1169,36
1170,21
1171,26
1172,4
1173,10
1174,27
1175,3
1176,37
1177,119
1178,60
1179,20
1180,68
1181,20
1182,4
1183,26
1184,36
1185,37
1186,50
1187,5
1188,68
1189,44
1190,5
1191,18
1192,2
1193,20
1194,20
1195,28
1196,10
1197,34
1198,19
1199,3
1200,19
1201,6
1202,77
1203,6
1204,18
1205,16
1206,3
1207,6
1208,3
1209,12
1210,83
1211,18
1212,3
1213,12
1214,24
1215,23
1216,76
1217,2
1218,41
1219,25
1220,6
1221,41
1222,5
1223,68
1224,61
1225,37
1226,4
1227,23
1228,43
1229,44
1230,21
1231,25
1232,57
1233,6
1234,18
1235,12
1236,4
1237,6
1238,4
1239,6
1240,6
1241,4
1242,20
1243,42
1244,3
1245,2
1246,117
1247,38
1248,6
1249,37
1250,32
1251,9
1252,19
1253,25
1254,5
1255,64
1256,47
1257,43
1258,18
1259,104
1260,118
1261,9
1262,24
1263,6
1264,40
1265,6
1266,100
1267,24
1268,4
1269,9
1270,3
1271,4
1272,64
1273,9
1274,38
1275,21
1276,9
1277,27
1278,36
1279,20
1280,40
1281,25
1282,4
1283,12
1284,6
1285,13
1286,13
1287,70
1288,38
1289,13
1290,26
1291,15
1292,34
1293,20
1294,16
1295,75
1296,3
1297,13
1298,13
1299,15
1300,16
1301,38
1302,3
1303,6
1304,2
1305,18
1306,39
1307,6
1308,3
1309,9
1310,12
1311,3
1312,3
1313,70
1314,41
1315,67
1316,60
1317,70
1318,27
1319,85
1320,6
1321,24
1322,3
1323,2
1324,14
1325,18
1326,46
1327,20
1328,5
1329,21
1330,21
1331,25
1332,13
1333,3
1334,6
1335,92
1336,72
1337,55
1338,6
1339,12
1340,9
1341,2
1342,19
1343,13
1344,2
1345,12
1346,18
1347,6
1348,77
1349,19
1350,47
1351,2
1352,2
1353,3
1354,19
1355,5
1356,27
1357,117
1358,42
1359,10
1360,36
1361,73
1362,6
1363,33
1364,60
1365,43
1366,5
1367,3
1368,21
1369,57
1370,3
1371,2
1372,12
1373,46
1374,20
1375,6
1376,6
1377,21
1378,2
1379,9
1380,62
1381,56
1382,39
1383,33
1384,21
1385,21
1386,5
1387,23
1388,2
1389,2
1390,13
1391,42
1392,55
1393,75
1394,46
1395,21
1396,3
1397,12
1398,2
1399,9
1400,4
1401,13
1402,3
1403,19
1404,12
1405,3
1406,4
1407,16
1408,16
1409,20
1410,2
1411,3
1412,18
1413,26
1414,21
1415,21
1416,41
1417,18
1418,52
1419,3
1420,15
1421,12
1422,55
1423,92
1424,16
1425,36
1426,53
1427,11
1428,43
1429,70
1430,24
1431,19
1432,2
1433,40
1434,25
1435,29
1436,189
1437,6
1438,36
1439,41
1440,25
1441,6
1442,9
1443,3
1444,5
1445,44
1446,6
1447,40
1448,4
1449,51
1450,62
1451,13
1452,31
1453,69
1454,67
1455,43
1456,37
1457,15
1458,45
1459,39
1460,19
1461,6
1462,6
1463,2
1464,62
1465,4
1466,9
1467,25
1468,18
1469,9
1470,6
1471,6
1472,17
1473,27
1474,3
1475,12
1476,83
1477,48
1478,20
1479,19
1480,2
1481,23
1482,17
1483,43
1484,9
1485,2
1486,117
1487,14
1488,2
1489,6
1490,11
1491,21
1492,53
1493,68
1494,47
1495,41
1496,29
1497,33
1498,117
1499,13
1500,12
1501,4
1502,91
1503,93
1504,89
1505,16
1506,6
1507,64
1508,29
1509,6
1510,4
1511,3
1512,40
1513,16
1514,2
1515,12
1516,4
1517,24
1518,20
1519,45
1520,2
1521,12
1522,5
1523,20
1524,5
1525,2
1526,41
1527,26
1528,20
1529,3
1530,70
1531,26
1532,34
1533,3
1534,34
1535,61
1536,25
1537,6
1538,3
1539,5
1540,35
1541,2
1542,25
1543,6
1544,35
1545,26
1546,119
1547,12
1548,5
1549,54
1550,21
1551,18
1552,2
1553,6
1554,46
1555,5
1556,6
1557,42
1558,4
1559,12
1560,2
1561,5
1562,5
1563,19
1564,13
1565,51
1566,20
1567,101
1568,28
1569,24
1570,15
1571,3
1572,44
1573,57
1574,2
1575,2
1576,19
1577,18
1578,39
1579,70
1580,74
1581,12
1582,23
1583,2
1584,2
1585,22
1586,96
1587,42
1588,2
1589,6
1590,91
1591,38
1592,46
1593,54
1594,26
1595,190
1596,18
1597,9
1598,43
1599,6
1600,3
1601,20
1602,4
1603,12
1604,5
1605,21
1606,6
1607,12
1608,2
1609,5
1610,49
1611,18
1612,10
1613,3
1614,26
1615,6
1616,22
1617,6
1618,36
1619,11
1620,2
1621,38
1622,3
1623,44
1624,6
1625,32
1626,6
1627,12
1628,2
1629,21
1630,54
1631,16
1632,3
1633,13
1634,25
1635,32
1636,41
1637,25
1638,4
1639,60
1640,3
1641,16
1642,47
1643,74
1644,5
1645,70
1646,6
1647,23
1648,40
1649,36
1650,2
1651,26
1652,20
1653,18
1654,6
1655,4
1656,21
1657,19
1658,32
1659,68
1660,36
1661,62
1662,67
1663,40
1664,99
1665,25
1666,13
1667,2
1668,20
1669,67
1670,3
1671,16
1672,170
1673,53
1674,15
1675,24
1676,12
1677,5
1678,39
1679,4
1680,55
1681,2
1682,2
1683,31
1684,16
1685,20
1686,16
1687,19
1688,13
1689,59
1690,29
1691,5
1692,20
1693,18
1694,18
1695,44
1696,22
1697,11
1698,6
1699,50
1700,2
1701,3
1702,24
1703,190
1704,9
1705,6
1706,12
1707,32
1708,3
1709,73
1710,5
1711,35
1712,68
1713,39
1714,3
1715,21
1716,6
1717,82
1718,2
1719,25
1720,6
1721,2
1722,62
1723,87
1724,19
1725,3
1726,59
1727,3
1728,2
1729,3
1730,12
1731,40
1732,5
1733,27
1734,25
1735,6
1736,11
1737,16
1738,12
1739,3
1740,27
1741,91
1742,20
1743,25
1744,2
1745,12
1746,11
1747,3
1748,39
1749,23
1750,25
1751,15
1752,18
1753,56
1754,78
1755,53
1756,28
1757,2
1758,35
1759,72
1760,25
1761,75
1762,45
1763,3
1764,2
1765,25
1766,12
1767,20
1768,70
1769,42
1770,53
1771,4
1772,20
1773,12
1774,83
1775,19
1776,79
1777,53
1778,18
1779,9
1780,11
1781,31
1782,26
1783,6
1784,39
1785,21
1786,113
1787,93
1788,48
1789,21
1790,88
1791,28
1792,3
1793,4
1794,20
1795,11
1796,16
1797,9
1798,2
1799,13
1800,50
1801,26
1802,34
1803,35
1804,33
1805,6
1806,13
1807,38
1808,5
1809,9
1810,13
1811,5
1812,60
1813,31
1814,41
1815,21
1816,2
1817,40
1818,3
1819,13
1820,86
1821,59
1822,3
1823,18
1824,56
1825,40
1826,27
1827,20
1828,32
1829,4
1830,53
1831,12
1832,13
1833,62
1834,21
1835,4
1836,29
1837,4
1838,18
1839,5
1840,2
1841,26
1842,31
1843,120
1844,19
1845,65
1846,6
1847,29
1848,18
1849,21
1850,12
1851,21
1852,69
1853,18
1854,24
1855,3
1856,6
1857,91
1858,9
1859,2
1860,69
1861,6
1862,36
1863,20
1864,18
1865,18
1866,20
1867,5
1868,6
1869,6
1870,20
1871,2
1872,6
1873,9
1874,54
1875,10
1876,3
1877,6
1878,4
1879,3
1880,34
1881,41
1882,3
1883,2
1884,16
1885,2
1886,18
1887,19
1888,4
1889,44
1890,12
1891,35
1892,3
1893,23
1894,21
1895,6
1896,37
1897,11
1898,13
1899,13
1900,41
1901,13
1902,9
1903,5
1904,44
1905,14
1906,288
1907,19
1908,2
1909,5
1910,3
1911,119
1912,2
1913,6
1914,11
1915,4
1916,4
1917,6
1918,3
1919,40
1920,66
1921,34
1922,33
1923,32
1924,51
1925,4
1926,11
1927,3
1928,9
1929,21
1930,6
1931,2
1932,4
1933,36
1934,55
1935,36
1936,19
1937,22
1938,6
1939,40
1940,6
1941,127
1942,20
1943,4
1944,13
1945,6
1946,9
1947,60
1948,43
1949,32
1950,4
1951,12
1952,45
1953,97
1954,28
1955,25
1956,2
1957,12
1958,102
1959,13
1960,6
1961,9
1962,20
1963,16
1964,12
1965,38
1966,3
1967,19
1968,27
1969,6
1970,71
1971,2
1972,36
1973,36
1974,24
1975,5
1976,37
1977,19
1978,9
1979,4
1980,6
1981,35
1982,25
1983,18
1984,53
1985,12
1986,2
1987,9
1988,13
1989,5
1990,5
1991,4
1992,20
1993,18
1994,9
1995,51
1996,20
1997,36
1998,60
1999,5
2000,20
2001,67
2002,20
2003,9
2004,70
2005,22
2006,53
2007,19
2008,5
2009,6
2010,75
2011,6
2012,6
2013,11
2014,18
2015,19
2016,18
2017,99
2018,6
2019,2
2020,19
2021,83
2022,6
2023,18
2024,2
2025,26
2026,9
2027,2
2028,77
2029,12
2030,13
2031,5
2032,41
2033,83
2034,9
2035,12
2036,16
2037,12
2038,67
2039,3
2040,20
2041,3
2042,20
2043,2
2044,24
2045,19
2046,88
2047,55
2048,69
2049,56
2050,16
2051,59
2052,3
2053,13
2054,4
2055,20
2056,84
2057,34
2058,21
2059,49
2060,23
2061,6
2062,5
2063,35
2064,39
2065,5
2066,6
2067,6
2068,16
2069,20
2070,5
2071,22
2072,6
2073,92
2074,18
2075,81
2076,40
2077,32
2078,18
2079,18
2080,2
2081,18
2082,20
2083,2
2084,27
2085,18
2086,14
2087,3
2088,18
2089,6
2090,21
2091,2
2092,2
2093,2
2094,41
2095,4
2096,3
2097,6
2098,3
2099,52
2100,18
2101,6
2102,14
2103,13
2104,47
2105,6
2106,4
2107,29
2108,15
2109,13
2110,20
2111,34
2112,5
2113,3
2114,20
2115,98
2116,4
2117,33
2118,13
2119,88
2120,4
2121,5
2122,19
2123,13
2124,18
2125,16
2126,68
2127,2
2128,4
2129,26
2130,35
2131,69
2132,18
2133,9
2134,12
2135,35
2136,12
2137,20
2138,57
2139,40
2140,34
2141,2
2142,4
2143,2
2144,3
2145,5
2146,51
2147,31
2148,12
2149,2
2150,19
2151,6
2152,2
2153,12
2154,11
2155,16
2156,28
2157,13
2158,2
2159,37
2160,14
2161,2
2162,18
2163,19
2164,6
2165,2
2166,100
2167,6
2168,2
2169,42
2170,10
2171,20
2172,29
2173,12
2174,15
2175,62
2176,6
2177,31
2178,17
2179,21
2180,39
2181,16
2182,6
2183,84
2184,22
2185,27
2186,46
2187,4
2188,39
2189,79
2190,12
2191,16
2192,9
2193,50
2194,25
2195,34
2196,39
2197,18
2198,98
2199,51
2200,32
2201,33
2202,4
2203,4
2204,12
2205,3
2206,2
2207,13
2208,12
2209,55
2210,6
2211,6
2212,25
2213,23
2214,18
2215,6
2216,13
2217,18
2218,2
2219,10
2220,9
2221,5
2222,21
2223,29
2224,12
2225,33
2226,12
2227,14
2228,11
2229,4
2230,9
2231,22
2232,46
2233,62
2234,19
2235,24
2236,3
2237,41
2238,3
2239,57
2240,13
2241,16
2242,67
2243,55
2244,19
2245,3
2246,61
2247,5
2248,3
2249,159
2250,29
2251,19
2252,27
2253,12
2254,12
2255,63
2256,25
2257,54
2258,19
2259,26
2260,18
2261,12
2262,2
2263,6
2264,2
2265,15
2266,3
2267,4
2268,6
2269,12
2270,5
2271,35
2272,11
2273,14
2274,2
2275,39
2276,20
2277,36
2278,37
2279,34
2280,33
2281,22
2282,18
2283,5
2284,22
2285,87
2286,16
2287,27
2288,25
2289,12
2290,20
2291,40
2292,6
2293,2
2294,25
2295,3
2296,63
2297,19
2298,100
2299,3
2300,18
2301,3
2302,5
2303,24
2304,38
2305,25
2306,22
2307,90
2308,16
2309,42
2310,9
2311,13
2312,32
2313,13
2314,2
2315,24
2316,63
2317,6
2318,6
2319,73
2320,6
2321,57
2322,6
2323,4
2324,2
2325,45
2326,27
2327,20
2328,10
2329,13
2330,49
2331,2
2332,49
2333,6
2334,6
2335,28
2336,20
2337,20
2338,18
2339,2
2340,32
2341,54
2342,50
2343,57
2344,92
2345,44
2346,46
2347,49
2348,25
2349,2
2350,5
2351,68
2352,45
2353,32
2354,12
2355,9
2356,27
2357,36
2358,39
2359,3
2360,6
2361,5
2362,24
2363,4
2364,12
2365,12
2366,5
2367,18
2368,25
2369,20
2370,31
2371,10
2372,6
2373,12
2374,26
2375,22
2376,23
2377,3
2378,6
2379,3
2380,13
2381,102
2382,6
2383,2
2384,49
2385,13
2386,13
2387,17
2388,93
2389,21
2390,2
2391,5
2392,12
2393,43
2394,68
2395,21
2396,15
2397,16
2398,42
2399,39
2400,92
2401,71
2402,50
2403,63
2404,2
2405,2
2406,36
2407,67
2408,67
2409,9
2410,6
2411,33
2412,22
2413,6
2414,39
2415,5
2416,18
2417,6
2418,18
2419,26
2420,6
2421,18
2422,25
2423,333
2424,10
2425,15
2426,10
2427,43
2428,2
2429,2
2430,4
2431,61
2432,36
2433,28
2434,39
2435,2
2436,9
2437,62
2438,11
2439,21
2440,9
2441,67
2442,3
2443,2
2444,18
2445,33
2446,6
2447,18
2448,33
2449,84
2450,19
2451,19
2452,20
2453,6
2454,12
2455,2
2456,34
2457,6
2458,6
2459,13
2460,21
2461,94
2462,2
2463,6
2464,13
2465,25
2466,49
2467,13
2468,6
2469,4
2470,20
2471,84
2472,76
2473,25
2474,82
2475,13
2476,12
2477,27
2478,6
2479,18
2480,25
2481,20
2482,21
2483,12
2484,2
2485,12
2486,2
2487,39
2488,2
2489,18
2490,3
2491,6
2492,2
2493,18
2494,22
2495,3
2496,6
2497,55
2498,39
2499,12
2500,68
2501,12
2502,12
2503,3
2504,16
2505,10
2506,45
2507,6
2508,18
2509,3
2510,100
2511,100
2512,15
2513,35
2514,19
2515,3
2516,2
2517,4
2518,2
2519,12
2520,19
2521,64
2522,33
2523,16
2524,6
2525,13
2526,3
2527,192
2528,17
2529,20
2530,46
2531,3
2532,2
2533,62
2534,9
2535,62
2536,16
2537,4
2538,49
2539,64
2540,9
2541,20
2542,18
2543,18
2544,36
2545,63
2546,34
2547,2
2548,25
2549,18
2550,11
2551,4
2552,6
2553,33
2554,6
2555,53
2556,6
2557,52
2558,21
2559,75
2560,39
2561,34
2562,18
2563,25
2564,37
2565,90
2566,19
2567,20
2568,44
2569,32
2570,24
2571,9
2572,2
2573,6
2574,33
2575,44
2576,65
2577,50
2578,3
2579,33
2580,35
2581,62
2582,85
2583,64
2584,18
2585,85
2586,20
2587,97
2588,10
2589,12
2590,62
2591,9
2592,94
2593,18
2594,34
2595,36
2596,38
2597,5
2598,13
2599,45
2600,2
2601,39
2602,69
2603,40
2604,4
2605,6
2606,25
2607,22
2608,6
2609,19
2610,36
2611,19
2612,22
2613,31
2614,3
2615,54
2616,50
2617,21
2618,17
2619,31
2620,38
2621,18
2622,20
2623,6
2624,54
2625,6
2626,21
2627,37
2628,32
2629,28
2630,37
2631,13
2632,25
2633,25
2634,25
2635,13
2636,23
2637,100
2638,94
2639,16
2640,20
2641,26
2642,17
2643,121
2644,11
2645,23
2646,6
2647,15
2648,6
2649,12
2650,2
2651,3
2652,97
2653,12
2654,32
2655,2
2656,32
2657,12
2658,40
2659,21
2660,12
2661,46
2662,4
2663,35
2664,4
2665,20
2666,2
2667,100
2668,20
2669,18
2670,45
2671,12
2672,34
2673,26
2674,32
2675,25
2676,9
2677,25
2678,5
2679,9
2680,4
2681,18
2682,21
2683,50
2684,54
2685,10
2686,91
2687,53
2688,25
2689,5
2690,5
2691,39
2692,2
2693,12
2694,24
2695,35
2696,29
2697,33
2698,2
2699,2
2700,18
2701,19
2702,24
2703,12
2704,3
2705,22
2706,11
2707,21
2708,20
2709,39
2710,6
2711,33
2712,2
2713,3
2714,21
2715,21
2716,69
2717,91
2718,18
2719,17
2720,55
2721,3
2722,6
2723,9
2724,13
2725,16
2726,2
2727,33
2728,11
2729,13
2730,20
2731,3
2732,65
2733,55
2734,16
2735,37
2736,4
2737,4
2738,12
2739,13
2740,18
2741,18
2742,33
2743,48
2744,33
2745,19
2746,9
2747,12
2748,10
2749,2
2750,3
2751,70
2752,9
2753,74
2754,19
2755,33
2756,21
2757,2
2758,17
2759,6
2760,5
2761,15
2762,6
2763,54
2764,32
2765,46
2766,12
2767,39
2768,6
2769,18
2770,16
2771,6
2772,11
2773,5
2774,22
2775,20
2776,191
2777,6
2778,36
2779,6
2780,23
2781,213
2782,37
2783,83
2784,5
2785,19
2786,13
2787,38
2788,13
2789,33
2790,12
2791,11
2792,49
2793,26
2794,10
2795,20
2796,42
2797,34
2798,5
2799,11
2800,11
2801,9
2802,3
2803,6
2804,58
2805,69
2806,2
2807,37
2808,89
2809,44
2810,6
2811,15
2812,25
2813,55
2814,4
2815,6
2816,27
2817,54
2818,70
2819,30
2820,19
2821,31
2822,19
2823,3
2824,6
2825,39
2826,3
2827,25
2828,20
2829,9
2830,46
2831,9
2832,26
2833,5
2834,58
2835,20
2836,31
2837,17
2838,46
2839,5
2840,6
2841,64
2842,26
2843,72
2844,6
2845,18
2846,20
2847,35
2848,16
2849,21
2850,3
2851,16
2852,18
2853,2
2854,25
2855,13
2856,30
2857,6
2858,25
2859,26
2860,9
2861,12
2862,4
2863,6
2864,6
2865,36
2866,31
2867,12
2868,9
2869,13
2870,3
2871,2
2872,76
2873,25
2874,3
2875,19
2876,85
2877,23
2878,6
2879,17
2880,2
2881,6
2882,2
2883,3
2884,23
2885,39
2886,19
2887,6
2888,2
2889,6
2890,91
2891,47
2892,55
2893,39
2894,9
2895,13
2896,5
2897,6
2898,4
2899,2
2900,2
2901,3
2902,6
2903,90
2904,6
2905,3
2906,3
2907,6
2908,2
2909,18
2910,25
2911,18
2912,31
2913,5
2914,24
2915,58
2916,33
2917,38
2918,3
2919,29
2920,9
2921,11
2922,28
2923,49
2924,68
2925,24
2926,28
2927,6
2928,55
2929,18
2930,69
2931,6
2932,33
2933,6
2934,24
2935,11
2936,13
2937,18
2938,23
2939,15
2940,20
2941,2
2942,72
2943,19
2944,5
2945,4
2946,21
2947,5
2948,9
2949,6
2950,68
2951,26
2952,12
2953,62
2954,24
2955,36
2956,70
2957,6
2958,6
2959,6
2960,38
2961,35
2962,19
2963,13
2964,11
2965,29
2966,19
2967,9
2968,18
2969,18
2970,2
2971,13
2972,33
2973,25
2974,92
2975,24
2976,4
2977,70
2978,3
2979,50
2980,21
2981,4
2982,55
2983,33
2984,6
2985,4
2986,6
2987,21
2988,25
2989,16
2990,13
2991,64
2992,55
2993,23
2994,60
2995,3
2996,24
